source,barcode,name,name_ar,name_en,generic_name,brand,brand_slug,quantity,quantity_value,quantity_unit,categories,image_url,lang,stores
food,6223001360049,"Aquafina Natural Water",,"Aquafina Natural Water",,Aquafina,Aquafina,600ml,600,ml,en:beverages-and-beverages-preparations|en:beverages|en:waters|en:spring-waters,https://images.openfoodfacts.org/images/products/622/300/136/0049/front_fr.3.400.jpg,fr,
food,6223001930549,"Pure life water",,"Pure life water",,Nestlé,nestle,600ml,600,ml,en:beverages-and-beverages-preparations|en:beverages|en:waters|en:spring-waters|en:mineral-waters,https://images.openfoodfacts.org/images/products/622/300/193/0549/front_en.6.400.jpg,en,
food,6223001930501,"Nestle Pure Life",.,"Nestle Pure Life",,Nestlé,nestle,1.5L,1500,ml,en:beverages-and-beverages-preparations|en:beverages|en:waters,https://images.openfoodfacts.org/images/products/622/300/193/0501/front_en.6.400.jpg,en,
food,6223001360056,"Aquafina Natural Water",,,,,,1.5L,1500,ml,en:beverages-and-beverages-preparations|en:beverages|en:waters|en:unsweetened-beverages,https://images.openfoodfacts.org/images/products/622/300/136/0056/front_fr.3.400.jpg,fr,
food,0071737995013,Cigarets,,Cigarets,,"Captain black","Captain black",1,0,,,https://images.openfoodfacts.org/images/products/007/173/799/5013/front_en.3.400.jpg,en,
food,6224008526162,"Natural drinking water",,"Natural drinking water",,"Aqua Delta","Aqua Delta","600 ml",600,ml,en:beverages-and-beverages-preparations|en:beverages|en:waters|en:spring-waters|en:mineral-waters|en:natural-mineral-waters,https://images.openfoodfacts.org/images/products/622/400/852/6162/front_en.3.400.jpg,en,
food,6225000378834,,,,,,,,,,en:beverages-and-beverages-preparations|en:beverages|en:waters,https://images.openfoodfacts.org/images/products/622/500/037/8834/front_en.3.400.jpg,en,
food,6221333001920,,دوريتوس,,,,,,,,en:snacks,,en,
food,6223001366041,"Pepsi cola",,"Pepsi cola",,"Pepsi-Cola, PepsiCo",Pepsi-Cola|PepsiCo,"2.43 liter",2430,ml,en:beverages-and-beverages-preparations|en:beverages|en:carbonated-drinks|en:sodas|en:colas,https://images.openfoodfacts.org/images/products/622/300/136/6041/front_en.3.400.jpg,en,
food,6222024104920,Hobnobs,,Hobnobs,,McVities,McVities,,,,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits,,en,
food,6223003803827,"Golden Oat",,,,McVitie's,mcvitie-s,,,,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits|en:oatmeal-biscuits,https://images.openfoodfacts.org/images/products/622/300/380/3827/front_fr.3.400.jpg,fr,
food,6221033101289,Ketchup,,,,Heinz,heinz,285g,285,g,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:vegetable-based-foods-and-beverages|en:condiments|en:vegetables-based-foods|en:tomatoes-and-their-products|en:sauces|en:tomato-sauces|en:ketchup,https://images.openfoodfacts.org/images/products/622/103/310/1289/front_fr.5.400.jpg,fr,
food,6224001105005,"Full cream milk","لمار لتر","Full cream milk",,Lamar,Lamar,"1 liter",1000,ml,en:dairies|en:milks-liquid-and-powder|en:milks|en:whole-milks,https://images.openfoodfacts.org/images/products/622/400/110/5005/front_en.7.400.jpg,en,
food,6222014336188,"Juhayna Apple Juice 1 Liter",,,,,,,,,en:beverages-and-beverages-preparations|en:plant-based-foods-and-beverages|en:beverages|en:fruit-based-foods-and-beverages|en:plant-based-beverages|en:fruit-based-beverages|en:juices-and-nectars|en:fruit-juices|en:unsweetened-beverages|en:apple-juices,https://images.openfoodfacts.org/images/products/622/201/433/6188/front_fr.3.400.jpg,fr,
food,6223003192020,"Whole wheat sugar-free toast",,"Whole wheat sugar-free toast",,"Rich bake","Rich bake",500g,500,g,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:breads|en:toasts,https://images.openfoodfacts.org/images/products/622/300/319/2020/front_en.36.400.jpg,en,
food,6223001872924,"Natural Yoghurt",,"Natural Yoghurt",,Almarai,Almarai,,,,"en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:yogurts|en:زبادي المراعي",,en,
food,6224003311121,"Twist energy drink coconut berry",,"Twist energy drink coconut berry",,Twist,twist,,,,,https://images.openfoodfacts.org/images/products/622/400/331/1121/front_en.3.400.jpg,en,
food,5449000098504,"Somali Dasani Water",,,,,,,,,en:beverages-and-beverages-preparations|en:beverages|en:waters,https://images.openfoodfacts.org/images/products/544/900/009/8504/front_fr.3.400.jpg,fr,
food,6223000350065,"Juhayna full cream milk",,"Juhayna full cream milk",,Juhayna,Juhayna,1L,1000,ml,en:dairies|en:milks-liquid-and-powder|en:milks|en:whole-milks,https://images.openfoodfacts.org/images/products/622/300/035/0065/front_en.14.400.jpg,en,
food,6223000083758,BIRELL,,BIRELL,,Birell,Birell,,,,en:beverages-and-beverages-preparations|en:beverages|en:alcoholic-beverages|en:beers,https://images.openfoodfacts.org/images/products/622/300/008/3758/front_en.3.400.jpg,en,
food,4403257146723,,,,,,,,,,,,ar,
food,6222019602905,omeagrx,omeagrx,,,,,2,,,,https://images.openfoodfacts.org/images/products/622/201/960/2905/front_ar.4.400.jpg,ar,
food,6223000756218,"جبنة فيتا",,,,,,,,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses,https://images.openfoodfacts.org/images/products/622/300/075/6218/front_fr.3.400.jpg,fr,
food,6221033177239,Mayonnaise,,Mayonnaise,,Heinz,heinz,285g,285,g,en:condiments|en:sauces|en:mayonnaises,https://images.openfoodfacts.org/images/products/622/103/317/7239/front_en.4.400.jpg,en,
